name,songUrl,songMP3Url,imageUrl,url
هذا حالي من بعدك,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_asmaa_lmnwr_hza_haly_mn_badk.mp3,https://www.mrmazika.com/uploads/singers/-almnwr_904.webp,https://www.mrmazika.com/listen/32247-اسماء-لمنور-هذا-حالي-من-بعدك.html
يا لالي,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_nwyl_khrman_ya_laly.mp3,https://www.mrmazika.com/uploads/singers/noel-kharman_26.webp,https://www.mrmazika.com/listen/32250-نويل-خرمان-يا-لالي.html
ياريت,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mstfy_alrbyay_yaryt.mp3,https://www.mrmazika.com/uploads/cdnimg/fc86d9bb574c4b2eded3865bbfb2d729.webp,https://www.mrmazika.com/listen/32246-مصطفي-الربيعي-ياريت.html
النجمة البعيدة,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_hydr_alghzal_alngmt_albaydt.mp3,https://www.mrmazika.com/uploads/cdnimg/43e24d8583a1eb7811cf3aea88d0fe38.jpg,https://www.mrmazika.com/listen/32245-حيدر-الغزال-النجمة-البعيدة.html
عطني يديك _ أسافر وياك,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_hsyn_algsmy_atny_ydyk.mp3,https://www.mrmazika.com/uploads/singers/36aw36j_1309-13_324.webp,https://www.mrmazika.com/listen/32244-حسين-الجسمي-عطني-يديك-_-أسافر-وياك.html
ولا مهتم,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_aly_gasm_wla_mhtm.mp3,https://www.mrmazika.com/uploads/cdnimg/7935fa6746616564a4794e6501750cef.jpg,https://www.mrmazika.com/listen/32242-علي-جاسم-ولا-مهتم.html
تثبتلك الايام,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_yasr_abd_alwhab_tsbtlk_alayam.mp3,https://www.mrmazika.com/uploads/singers/yaser-abdelwahab_357.webp,https://www.mrmazika.com/listen/32243-ياسر-عبد-الوهاب-تثبتلك-الايام.html
عديها - اعلان شيبسي,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_tamr_hsni_adyha_-_aalan_shybsy.mp3,https://www.mrmazika.com/uploads/singers/ggggg_532.webp,https://www.mrmazika.com/listen/32241-تامر-حسنى-عديها---اعلان-شيبسي.html
مزلاج,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_amymt_talb_mzlag.mp3,https://www.mrmazika.com/uploads/singers/omima-talb_967.webp,https://www.mrmazika.com/listen/32227-اميمة-طالب-مزلاج.html
غلطه غنيت,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_hsyn_ghzal_ghlth_ghnyt.mp3,https://www.mrmazika.com/uploads/singers/hussein-gazal_999.webp,https://www.mrmazika.com/listen/32240-حسين-غزال-غلطه-غنيت.html
جمر الأشواق,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_ywsf_alshhry_gmr_alashwak.mp3,https://www.mrmazika.com/uploads/cdnimg/974bed2451dc0b81ea68d7ae81a744fd.jpg,https://www.mrmazika.com/listen/32255-يوسف-الشهري-جمر-الأشواق.html
قولو - مع عفروتو,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_wzt_mntsr_kwlw_-_ma_afrwtw.mp3,https://www.mrmazika.com/uploads/cdnimg/04044efad1304bdf8ebeb220601ad094.jpg,https://www.mrmazika.com/listen/32235-وزة-منتصر-قولو---مع-عفروتو.html
ارض ملغمه يلا متجيش ارض ملغمه,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_ahmd_alswysy_ard_mlghmh_yla_mtgysh_ard_mlghmh.mp3,https://www.mrmazika.com/uploads/cdnimg/dbec8595d8493b89bc9949236a4338cd.webp,https://www.mrmazika.com/listen/32236-احمد-السويسي-ارض-ملغمه-يلا-متجيش-ارض-ملغمه.html
ذرب الفعايل,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_alwsmy_zrb_alfaayl.mp3,https://www.mrmazika.com/uploads/cdnimg/dac18a6ac71f3f6bec814919ee3b3fbc.jpg,https://www.mrmazika.com/listen/32237-الوسمي-ذرب-الفعايل.html
عمي المختار,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mhmd_adly_amy_almkhtar.mp3,https://www.mrmazika.com/uploads/cdnimg/3b688993feff8570b367512fc09173ea.jpg,https://www.mrmazika.com/listen/32231-محمد-عدلي-عمي-المختار.html
